sub_id,turf_id,scenario,species_richness
10_1,MX_C_010,current,2
10_1,MX_C_010,rcp26_2050,2
10_1,MX_C_010,rcp26_2100,1
10_1,MX_C_010,rcp45_2050,1
10_1,MX_C_010,rcp45_2100,1
10_1,MX_C_010,rcp85_2050,1
10_1,MX_C_010,rcp85_2100,1
12_1,MX_C_012,current,0
12_1,MX_C_012,rcp26_2050,0
12_1,MX_C_012,rcp26_2100,0
12_1,MX_C_012,rcp45_2050,0
12_1,MX_C_012,rcp45_2100,0
12_1,MX_C_012,rcp85_2050,0
12_1,MX_C_012,rcp85_2100,0
12_2,MX_C_012,current,2
12_2,MX_C_012,rcp26_2050,2
12_2,MX_C_012,rcp26_2100,1
12_2,MX_C_012,rcp45_2050,1
12_2,MX_C_012,rcp45_2100,1
12_2,MX_C_012,rcp85_2050,1
12_2,MX_C_012,rcp85_2100,1
18_1,MX_C_018,current,9
18_1,MX_C_018,rcp26_2050,9
18_1,MX_C_018,rcp26_2100,9
18_1,MX_C_018,rcp45_2050,9
18_1,MX_C_018,rcp45_2100,9
18_1,MX_C_018,rcp85_2050,9
18_1,MX_C_018,rcp85_2100,9
193_1,MX_C_193,current,0
193_1,MX_C_193,rcp26_2050,0
193_1,MX_C_193,rcp26_2100,0
193_1,MX_C_193,rcp45_2050,0
193_1,MX_C_193,rcp45_2100,0
193_1,MX_C_193,rcp85_2050,0
193_1,MX_C_193,rcp85_2100,0
196_1,MX_C_196,current,1
196_1,MX_C_196,rcp26_2050,1
196_1,MX_C_196,rcp26_2100,1
196_1,MX_C_196,rcp45_2050,1
196_1,MX_C_196,rcp45_2100,1
196_1,MX_C_196,rcp85_2050,1
196_1,MX_C_196,rcp85_2100,1
198_1,MX_C_198,current,1
198_1,MX_C_198,rcp26_2050,1
198_1,MX_C_198,rcp26_2100,1
198_1,MX_C_198,rcp45_2050,1
198_1,MX_C_198,rcp45_2100,1
198_1,MX_C_198,rcp85_2050,1
198_1,MX_C_198,rcp85_2100,1
199_1,MX_C_199,current,2
199_1,MX_C_199,rcp26_2050,2
199_1,MX_C_199,rcp26_2100,2
199_1,MX_C_199,rcp45_2050,2
199_1,MX_C_199,rcp45_2100,2
199_1,MX_C_199,rcp85_2050,2
199_1,MX_C_199,rcp85_2100,2
201_1,MX_C_201,current,2
201_1,MX_C_201,rcp26_2050,2
201_1,MX_C_201,rcp26_2100,2
201_1,MX_C_201,rcp45_2050,2
201_1,MX_C_201,rcp45_2100,2
201_1,MX_C_201,rcp85_2050,2
201_1,MX_C_201,rcp85_2100,2
203_1,MX_C_203,current,0
203_1,MX_C_203,rcp26_2050,0
203_1,MX_C_203,rcp26_2100,0
203_1,MX_C_203,rcp45_2050,0
203_1,MX_C_203,rcp45_2100,0
203_1,MX_C_203,rcp85_2050,0
203_1,MX_C_203,rcp85_2100,0
205_1,MX_C_205,current,0
205_1,MX_C_205,rcp26_2050,0
205_1,MX_C_205,rcp26_2100,0
205_1,MX_C_205,rcp45_2050,0
205_1,MX_C_205,rcp45_2100,0
205_1,MX_C_205,rcp85_2050,0
205_1,MX_C_205,rcp85_2100,0
209_1,MX_C_209,current,0
209_1,MX_C_209,rcp26_2050,0
209_1,MX_C_209,rcp26_2100,0
209_1,MX_C_209,rcp45_2050,0
209_1,MX_C_209,rcp45_2100,0
209_1,MX_C_209,rcp85_2050,0
209_1,MX_C_209,rcp85_2100,0
211_1,MX_C_211,current,1
211_1,MX_C_211,rcp26_2050,1
211_1,MX_C_211,rcp26_2100,1
211_1,MX_C_211,rcp45_2050,1
211_1,MX_C_211,rcp45_2100,1
211_1,MX_C_211,rcp85_2050,1
211_1,MX_C_211,rcp85_2100,1
